id,0,1,2,3,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,10,11,12,13,14,15,16,17,18,19,20
ML10461a,7,9,6,6,0,7,4,0,6,3,2,3,5,1,4,2,4,6,2.5,6,2.5,11,6.5,6.5,1.5,3
ML082715a,0,0,0,2,2,1,3,3,5,9,4,7,11,14,9,6,4,10,10,32.5,17.5,21.5,26,18.5,10,9
ML023010a,0,0,0,1,1,0,0,0,6,1,2,3,1,17,9,8,61,58,22.5,23.5,14,9,10.5,10.5,0.5,5.5
ML50011a,2,0,6,9,3,4,2,3,9,3,6,10,7,12,4,4,39,24,27,74.5,60.5,41,63.5,48,19.5,35.5
ML01723a,8,18,8,7,3,4,7,1,5,3,6,0,2,1,1,0,0,2,2,6.5,2.5,5.5,4,1,1,1.5
ML08233a,10,9,19,20,1,8,8,6,6,9,8,5,6,3,2,2,1,7,1.5,5.5,2,1.5,1,1,0.5,2.5
ML223525a,1,0,0,0,0,0,0,0,0,0,1,10,28,15,33,12,62,92,34.5,44.5,18,21.5,7.5,12,6.5,20.5
ML04973a,1,0,0,0,1,0,0,2,5,11,45,14,26,12,20,11,67,56,29,46.5,33.5,32.5,21,27.5,4.5,13.5
ML06458a,0,0,0,0,0,0,0,0,0,1,0,2,1,4,1,3,27,28,17,15.5,22.5,16,31,17.5,10.5,43
ML14871a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,12.5,19.5,16,30.5,3.5,12
ML003023a,5,1,0,1,0,0,0,0,0,3,3,0,9,2,11,7,23,23,18,35,30,30,25,22,9.5,18.5
ML17941a,105,113,169,191,42,122,71,19,155,75,128,62,117,46,63,8,101,111,48,78.5,49,73.5,53.5,24.5,11,43.5
ML145832a,0,0,0,0,0,0,2,1,12,22,4,8,4,1,1,0,1,0,2,14.5,7,12,7,11,2,6
ML065317a,0,0,0,0,0,0,0,0,2,0,7,10,7,9,8,1,25,24,17,31,17.5,22.5,24.5,12.5,7,7.5
ML199113a,17,34,5,11,7,10,4,2,10,1,1,4,5,0,4,1,2,3,0.5,1,0.5,0,2,0.5,0,0.5
ML03218a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,28,42,9.5,29,18,12,15.5,6.5,4,5.5
ML070244a,7,7,3,7,3,4,6,3,4,5,7,9,4,6,8,2,7,4,5.5,2,4,0.5,1.5,2.5,0,1
ML305522a,3,5,7,9,6,3,1,0,11,0,1,4,6,5,5,2,7,6,2.5,10.5,2.5,9,6,9,1.5,5
ML04064a,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,10,75,44,28,23.5,2.5,5.5,1,4,0,2.5
ML003220a,0,0,0,0,0,0,0,0,2,0,0,0,9,1,4,0,13,10,56.5,432.5,522,635.5,511,923.5,299.5,508
ML11829a,1,5,3,4,2,9,5,0,4,2,3,5,2,2,1,0,6,2,7,22,7.5,3.5,10,6,1.5,7
ML065310a,0,0,0,0,0,0,0,0,2,10,0,1,4,5,12,1,15,23,17.5,23,12.5,12,5,3,1,8
ML047936a,7,11,21,16,7,12,7,6,13,10,5,11,16,5,11,4,19,16,10.5,21,19.5,13.5,12.5,14,4,13
ML25122a,0,0,4,2,1,0,4,4,22,24,11,9,48,9,16,8,63,43,108,86,76,87,28.5,38.5,20,37
ML21937a,1,0,0,0,0,0,3,0,3,7,0,5,24,3,4,3,13,18,31.5,23.5,6.5,9.5,6.5,10,1.5,3
ML01358a,6,1,12,7,4,5,6,0,1,2,5,5,26,5,3,11,100,61,65.5,76,65,33.5,25,16.5,8,23.5
